original_name,company_name
TIPTON CENTERS INC,tipton centers
EMPIRE ORR INC,empire orr
RICHMOND HILL SVGS BK NY,richmond hill svgs bk ny
NATIONAL VISION SERVICES INC,national vision services
AVESIS INC,avesis
OLYMPIC INTERNATIONAL BK & TR CO,olympic international bk tr
AMERICAN SUGAR REFNG CO,american sugar refng
AMERICAN SUGAR CO,american sugar
AMSTAR CORP,amstar
SUBURBAN BANCORP INC IL,suburban bancorp il
WASTE RECOVERY INC,waste recovery
AMERICAN CAPACITY GROUP INC,american capacity
FIRST AMERICAN BANK FOR SVGS BOS,first american bank for svgs bos
FIRST AMERICAN BANCORP INC,first american bancorp
CENTRAL BANK FOR SAVINGS CT,central bank for savings ct
CENVEST INC,cenvest
AMSTED INDUSTRIES INC,amsted industries
AVM CORP,avm
AMERICAN LOCKER GROUP,american locker
ASBESTEC INDUSTRIES INC,asbestec industries
GARTNER GROUP INC,gartner
FIRST AMERI CABLE CORP,first ameri cable
SUMMIT HOLDING CORP,summit
NEOLENS INC,neolens
SANDWICH CO OPERATIVE BK MA,sandwich operative bk ma
SANDWICH BANCORP INC,sandwich bancorp
ANACONDA CO,anaconda
INTEX SOFTWARE SYS INTL LTD,intex software sys intl
GREATBANC INC,greatbanc
NICHOLS HOMESHIELD INC,nichols homeshield
BANK MARYLAND CORP,bank maryland
AMERICAN WOODMARK CORP,american woodmark
ATLANTIS MINING & MFG CO INC,atlantis mining mfg
BONNEVILLE PACIFIC CORP,bonneville pacific
JIFFY LUBE INTERNATIONAL INC,jiffy lube international
STEVES HOMEMADE ICE CREAM INC,steves homemade ice cream
INTEGRATED BRANDS INC,integrated brands
MEDICAL ACTION INDUSTRIES INC,medical action industries
AARON BROS CORP,aaron bros
BOMBAY PALACE RESTS INC,bombay palace rests
IGENE BIOTECHNOLOGY INC,igene biotechnology
LIPOSOME COMPANY INC,liposome company
TRANS WORLD MUSIC CORP,trans world music
TRANS WORLD ENTERTAINMENT CORP,trans world entertainment
KASPIEN HOLDINGS INC,kaspien
GROUNDWATER TECHNOLOGY,groundwater technology
ARCHER DANIELS MIDLAND CO,archer daniels midland
AARON RENTS INC,aaron rents
AARONS INC,aarons
PROG HOLDINGS INC,prog
PACIFIC SOUTHWEST AIRLINES NEW,pacific southwest airlines new
IMAGINE FILMS ENTERTAINMENT INC,imagine films entertainment
BERES INDUSTRIES INC,beres industries
MAGNOLIA FOODS INC,magnolia foods
CENTRAL JERSEY INDS INC,central jersey inds
TRIANGLE INDUSTRIES INC NEW,triangle industries new
