original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound,Englishness,length
ASPEN IMAGING INTERNATIONAL INC,aspen imaging international,8.333333333333334,3.3333333333333335,1,0,0,0.44,5,0.0,0,i530,17.965084934442615,25
ASSOCIATED HOSTS INC,associated hosts,7.5,3.0,1,0,0,0.4,4,0.0,1,a202,17.06222368863338,15
ATLAN TOL INDS INC,atlan tol inds,4.0,1.3333333333333333,1,0,0,0.3333333333333333,2,0.6666666666666666,0,a340,4.560005720896218,12
ASTRO MEDICAL INC NEW,astro medical new,5.0,2.0,1,0,0,0.4,2,0.0,0,m030,5.132150090335811,15
ASTRONOVA INC,astronova,9.0,4.0,1,0,0,0.4444444444444444,2,1.0,1,a236,12.857286582021672,9
Astronics Corp,astronics,9.0,3.0,1,0,0,0.3333333333333333,2,1.0,1,a236,8.081503006472442,9
Associates First Capital Corp,associates first capital,7.333333333333333,2.6666666666666665,1,0,0,0.4090909090909091,4,0.0,0,a202,24.113390267187427,22
ASTRO MEDICAL INC,astro medical,6.0,2.5,1,0,0,0.4166666666666667,2,0.0,1,m030,5.20331909571384,12
NEW AMERICAN SHOE INC,new american shoe,5.0,2.0,0,1,0,0.4666666666666667,3,0.0,0,a506,8.54469158354725,15
SPAIN FUND INC,spain,5.0,1.0,0,1,0,0.4,1,0.0,1,s105,1.772186963682243,5
IBERO AMERICA FD INC,ibero america fd,4.666666666666667,2.6666666666666665,0,1,0,0.5,2,0.0,0,a506,22.362511849654325,14
Authenticolor Inc,authenticolor,13.0,5.0,1,0,0,0.4615384615384615,2,1.0,1,a030,16.78277275553433,13
Atwood Oceanics Inc.,atwood oceanics,7.0,2.5,1,0,0,0.5,3,0.5,1,o205,15.326944032239076,14
REXNORD CORP,rexnord,7.0,2.0,0,1,0,0.2857142857142857,2,1.0,1,r025,13.4399948943286,7
VIREXX MEDICAL CORP,virexx medical,6.5,2.5,0,0,1,0.3846153846153846,2,0.5,1,m030,15.435362633715409,13
REX AMERICAN RESOURCES CORP,rex american resources,6.666666666666667,2.6666666666666665,0,1,0,0.45,4,0.0,0,r020,20.879198756651505,20
ASAHI AMERICA INC,asahi america,6.0,3.5,1,0,0,0.5833333333333334,4,0.0,1,a506,14.805701667416256,12
Autodesk Inc,autodesk,8.0,3.0,1,0,0,0.5,1,1.0,1,a030,13.4740265606918,8
DIGITAL COMMUNICATIONS ASSOC INC,digital communications assoc,8.666666666666666,3.3333333333333335,1,0,0,0.4230769230769231,4,0.0,0,c050,29.50043122728144,26
DIALYSIS CORP AMERICA,dialysis america,7.5,4.0,1,0,0,0.5333333333333333,3,0.0,1,d040,14.025021938275136,15
Automatic Data Processing Inc,automatic data processing,7.666666666666667,3.0,1,0,0,0.4347826086956521,4,0.0,0,p602,13.924344636518228,23
ALLIED PRODUCTS CORP DE,allied products de,5.333333333333333,1.6666666666666667,1,0,0,0.375,3,0.0,0,p603,8.015482070350993,16
ABACUS DIRECT CORP,abacus direct,6.0,2.5,1,0,0,0.4166666666666667,2,0.0,1,a102,9.042397478727777,12
AUXTON COMPUTER ENTERPRISES,auxton computer enterprises,8.333333333333334,3.0,1,0,0,0.4,4,0.3333333333333333,0,e530,29.11613783324703,25
AVANTEK INC,avantek,7.0,3.0,1,0,0,0.4285714285714285,2,1.0,1,a105,10.41633623590484,7
TCW Strategic Income Fund Inc,tcw strategic income,6.0,2.0,0,1,0,0.3333333333333333,3,0.3333333333333333,0,s360,16.208147642438146,18
TRINITECH SYSTEMS INC,trinitech systems,8.0,2.5,0,1,0,0.3125,3,0.5,1,t605,22.423752201066534,16
AVERY INC,avery,5.0,3.0,1,0,0,0.6,1,0.0,1,a106,0.3183344697808628,5
AVERY PRODUCTS CORP,avery products,6.5,2.5,1,0,0,0.3846153846153846,2,0.0,1,p603,12.017275838581064,13
AVERY INTERNATIONAL CORP,avery international,9.0,4.0,1,0,0,0.5,3,0.0,1,i530,11.56678673684535,18
