,word,Englishness,length
575,clinical data new,5.855748980183368,15
576,clorox,7.29573815184378,6
577,coast manufacturing,18.222126345681694,18
578,coast distribution system,18.660952473302203,23
579,coastland fl,13.687869295449284,11
580,cobe labs,4.860664450252847,8
581,coca cola bottling cons,4.59798870377192,20
582,coca cola consolidated,12.037114693686934,20
583,coca cola bottling miami,11.129504183005025,21
584,coca cola,-1.168219289024874,8
585,coeur mining,5.2803200949574745,11
586,cochrane furniture,18.274547157560704,17
587,cohu,2.987270660164348,4
588,cole national new,-0.4442449718730961,15
589,colgate palmolive,15.678554959280751,16
590,colonial commercial,14.634709727903392,18
591,colonial companies,16.860561229781545,17
592,chase,1.0717813965576735,5
593,cook united new,-0.8824550180590472,13
594,comair,3.965540308734156,6
595,comarco,6.3702255520970095,7
596,midcom communications,28.354214564328277,20
597,comerica incorporated,19.665530697537513,20
598,comcast,9.01280131301629,7
599,aon,0.33157757153137424,3
600,aon new,0.2604085661533453,6
601,comcast new,8.941632307638262,10
602,software,12.073027966712578,8
603,advantage cos,7.791335744060742,12
604,cooper industries,17.7511432496182,16
605,citigroup,16.563116605631784,9
606,cidco,10.608035574018022,5
607,creative management assoc,20.587665632873772,23
608,comerica,6.009732219250235,8
609,fox technology,12.532345348732994,13
610,commerce bancshares,29.735630524175427,18
611,cch,4.93600788028548,3
612,commerce,6.566710377636445,8
613,commonwealth energy system,32.78910975794009,24
614,commerce union,4.711212230021107,13
615,commercial metals,15.021682925010875,16
616,commonwealth theatres,29.451824462853445,20
617,communications systems,29.521789616361904,21
618,software new,12.001858961334548,11
619,avis budget,4.623579852066834,10
620,carter wallace,5.168362493490579,13
621,computer task,8.356063426308925,12
622,chancellor mass,7.9564747534184335,14
623,pure world,3.0461641834873716,9
624,compudyne,12.3136702628931,9
625,compuscan,11.322014707645469,9
626,computer communications,23.941229438409287,22
627,computrac,11.710837763293597,9
628,computer identics,12.50080850900445,16
629,computer entry sys,4.586331093418522,16
630,computer microfilm del,18.569854467288977,20
631,computer microfilm ga,17.07551220113549,19
632,artesyn technologies,32.65027769410966,19
633,dxc technology,32.65570738894156,13
634,penn dixie cement,11.093078010739259,15
635,dixico,9.791784900483396,6
636,computer synergy,12.583249429409836,15
637,comtech telecommunications,41.46749123448523,25
638,comtech,12.444794070385258,7
639,conagra brands,8.56001743308588,13
640,conagra,4.67935383585174,7
641,comtex scientific,21.80008970480801,16
642,rankin automotive,13.543360482991954,16
643,rave restaurant,9.654852310295535,14
644,comtrex systems,24.72308249324948,14
645,comtrex systems new,24.65191348787145,17
646,shutterstock,18.228856869050013,12
647,conolog,5.408183112275608,7
648,connecticut water service,19.948309996989167,23
649,national income realty trust,9.093862317015653,25
650,continental mortgage equity,20.786113668228875,25
651,continental mortgage eqty tr,30.03215530299098,25
652,transcontinental realty investors,39.43224187202197,31
