,original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound
14426,Nuveen Floating Rate Income Fund,nuveen floating rate income,6.0,1.75,0,1,0,0.4583333333333333,4,0.25,0,f403
14427,LEADIS TECHNOLOGY INC,leadis technology,8.0,3.0,0,1,0,0.4375,2,0.5,1,t020
14428,HISPANIC BROADCASTING CORP,hispanic broadcasting,10.0,3.0,0,1,0,0.35,3,0.0,1,b603
14429,HOSPIRA INC,hospira,7.0,3.0,0,1,0,0.42857142857142855,1,1.0,1,h021
14430,METROPCS COMMUNICATIONS INC,metropcs communications,11.0,3.5,0,1,0,0.36363636363636365,3,0.5,1,c050
14431,AUXILIUM PHARMACEUTICALS,auxilium pharmaceuticals,11.5,4.0,1,0,0,0.4782608695652174,4,0.0,1,p065
14432,XERIUM TECHNOLOGIES INC,xerium technologies,9.0,3.0,0,0,1,0.4444444444444444,3,0.5,1,t020
14433,MORNINGSTAR INC,morningstar,11.0,3.0,0,1,0,0.2727272727272727,2,0.0,1,m065
14434,EATON VANCE TAX ADV GLOB DIV OPP,eaton vance tax adv glob div opp,3.7142857142857144,1.1428571428571428,1,0,0,0.38461538461538464,4,0.0,0,e030
14435,Lazard Global Total Return and Income Fund Inc,lazard global total return and income,5.333333333333333,1.8333333333333333,0,1,0,0.375,5,0.16666666666666666,0,l020
14436,LAZARD GLOB TOT RET & INC FD INC,lazard glob tot ret fd,3.6,1.2,0,1,0,0.2777777777777778,3,0.2,0,l020
14437,NORTHSTAR REALTY FINANCE CORP,northstar realty finance,7.333333333333333,2.3333333333333335,0,1,0,0.36363636363636365,3,0.3333333333333333,0,n063
14438,BlackRock Enhanced Large Cap Core Fund Inc,blackrock enhanced large cap core,5.8,1.4,1,0,0,0.3448275862068966,5,0.2,0,b402
14439,BLACKROCK CAPITAL & INC STRAT FD,blackrock capital strat fd,5.75,1.75,1,0,0,0.2608695652173913,4,0.5,0,b402
14440,BLACKROCK ENHANCED CAP & INC FD,blackrock enhanced cap fd,5.5,1.5,1,0,0,0.2727272727272727,4,0.25,0,b402
14441,Allspring Utilities and High Income Fund,allspring utilities and high income,6.2,2.0,1,0,0,0.3870967741935484,6,0.2,0,a421
14442,WELLS FARGO ADV UTIL & HI INC FD,wells fargo adv util hi fd,3.5,1.3333333333333333,0,0,1,0.3333333333333333,3,0.0,0,w042
14443,WELLS FARGO UTIL & HI INC FD,wells fargo util hi fd,3.6,1.4,0,0,1,0.3333333333333333,3,0.0,0,w042
14444,ALLSPRING UTILS & HIGH INC FD,allspring utils high fd,5.0,1.5,1,0,0,0.25,3,0.5,0,a421
14445,TS&W/Claymore Tax-Advantaged Balanced Fund,tswclaymore taxadvantaged balanced,10.666666666666666,3.0,0,1,0,0.375,7,0.6666666666666666,0,t020
14446,Alphabet Inc,alphabet,8.0,3.0,1,0,0,0.375,2,0.0,1,a410
14447,GOOGLE INC,google,6.0,1.0,0,1,0,0.5,2,0.0,1,g024
14448,URANERZ ENERGY CORP,uranerz energy,6.5,3.0,0,1,0,0.46153846153846156,3,0.5,1,u605
14449,MCCORMICK & SCHMICKS SEAFOOD RES,mccormick schmicks seafood res,6.75,1.75,0,1,0,0.2962962962962963,5,0.25,0,m206
14450,NEW RIVER PHARMACEUTICALS INC,new river pharmaceuticals,7.666666666666667,2.6666666666666665,0,1,0,0.391304347826087,3,0.0,0,p065
14451,STEREOTAXIS INC,stereotaxis,11.0,4.0,0,1,0,0.45454545454545453,2,0.0,1,s306
14452,TEXAS ROADHOUSE INC,texas roadhouse,7.0,2.0,0,1,0,0.5,2,0.0,1,r030
14453,Gramercy Property Trust,gramercy property trust,7.0,2.3333333333333335,0,1,0,0.3333333333333333,5,0.0,0,g605
14454,GREENPOINT FINANCIAL CORP,greenpoint financial,9.5,2.5,0,1,0,0.42105263157894735,4,0.5,1,g605
14455,PEOPLESUPPORT INC,peoplesupport,13.0,4.0,0,1,0,0.38461538461538464,4,1.0,1,p014
14456,RIGHTNOW TECHNOLOGIES INC,rightnow technologies,10.0,3.0,0,1,0,0.35,3,0.5,1,t020
14457,TOWER GROUP INC,tower,5.0,2.0,0,1,0,0.4,1,0.0,1,t060
14458,TOWER GROUP INTERNATIONAL LTD,tower international,9.0,3.5,0,1,0,0.4444444444444444,3,0.0,1,i530
14459,BANKWELL FINANCIAL GROUP INC,bankwell financial,8.5,2.5,1,0,0,0.35294117647058826,3,0.5,1,f050
14460,ANSWERS CORP,answers,7.0,2.0,1,0,0,0.2857142857142857,2,0.0,1,a520
14461,METALICO INC,metalico,8.0,4.0,0,1,0,0.5,1,1.0,1,m030
14462,EXTRA SPACE STORAGE INC,extra space storage,5.666666666666667,1.6666666666666667,1,0,0,0.4117647058823529,3,0.0,0,s306
14463,NEUROMETRIX INC,neurometrix,11.0,4.0,0,1,0,0.45454545454545453,2,1.0,1,n060
14464,EUROBANCSHARES INC,eurobancshares,14.0,5.0,1,0,0,0.42857142857142855,2,1.0,1,e060
14465,ZIPREALTY INC,ziprealty,9.0,3.0,0,0,1,0.4444444444444444,1,1.0,1,z016
14466,LUMERA CORP,lumera,6.0,3.0,0,1,0,0.5,1,1.0,1,l050
14467,VOLTERRA SEMICONDUCTOR CORP,volterra semiconductor,10.5,4.0,0,0,1,0.38095238095238093,3,0.0,1,s050
14468,HERCULES TECHNOLOGY GRTH CAP INC,hercules technology grth cap,6.25,2.25,0,1,0,0.32,3,0.25,0,t020
14469,HERCULES CAPITAL INC,hercules capital,7.5,3.0,0,1,0,0.4,2,0.0,1,h062
14470,WASHINGTONFIRST BANCSHARES INC,washingtonfirst bancshares,12.5,3.0,0,0,1,0.28,4,1.0,1,w020
14471,GABELLI GLOBAL UTIL & INCOME TR,gabelli global util income tr,5.0,2.0,0,1,0,0.4,5,0.2,0,g010
14472,BlackRock Dividend Income Trust,blackrock dividend income trust,7.0,2.0,1,0,0,0.32142857142857145,3,0.25,0,b402
14473,FIRST TRUST FOUR CNRS SR FLTG II,first trust four cnrs sr fltg ii,3.7142857142857144,1.1428571428571428,0,1,0,0.23076923076923078,5,0.2857142857142857,0,f062
14474,FIRST TRUST SR FLTG RT INC FD II,first trust sr fltg rt fd ii,3.142857142857143,1.1428571428571428,0,1,0,0.18181818181818182,5,0.14285714285714285,0,f062
14475,COMMERCIAL VEHICLE GROUP INC,commercial vehicle,8.5,3.0,1,0,0,0.4117647058823529,3,0.0,1,c050
14476,OHR PHARMACEUTICAL INC,ohr pharmaceutical,8.5,3.0,0,1,0,0.4117647058823529,3,0.5,1,p065
14477,TELEGLOBE INTL HOLDINGS LTD,teleglobe intl,6.5,2.0,0,1,0,0.38461538461538464,3,0.5,1,t040
14478,INTRALASE CORP,intralase,9.0,3.0,0,1,0,0.4444444444444444,2,1.0,1,i536
14479,BEACON ROOFING SUPPLY INC,beacon roofing supply,6.333333333333333,2.0,1,0,0,0.42105263157894735,3,0.0,0,r010
14480,Polypore International Inc,polypore international,10.5,4.0,0,1,0,0.47619047619047616,3,0.0,1,i530
14481,STRATAGENE CORP,stratagene,10.0,3.0,0,1,0,0.4,2,1.0,1,s360
14482,SHIP FINANCE INTERNATIONAL LTD,ship finance international,8.0,2.6666666666666665,0,1,0,0.4166666666666667,5,0.0,0,i530
14483,KongZhong Corp,kongzhong,9.0,2.0,0,1,0,0.2222222222222222,2,1.0,1,k052
