original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound,Englishness,length
INOZYME PHARMA INC,inozyme pharma,6.5,2.5,0,1,0,0.4615384615384615,2,1.0,1,i502,11.602967360735985,13
ITEOS THERAPEUTICS INC,iteos therapeutics,8.5,3.0,0,1,0,0.4705882352941176,3,0.5,1,t060,24.626263693886887,17
BOEING CO,boeing,6.0,2.0,1,0,0,0.5,1,0.0,1,b052,4.738995467712577,6
BROWNS ROGER MINIATURE HORSE FM,browns roger miniature horse fm,5.4,2.0,1,0,0,0.3703703703703703,5,0.0,0,m050,20.69722134242656,27
MINI INTERNATIONAL CORP,mini international,8.5,3.5,0,1,0,0.4705882352941176,4,0.0,1,i530,12.177436856690532,17
LI AUTO INC,li auto,3.0,1.5,0,1,0,0.6666666666666666,1,0.0,1,a030,-2.329094373308347,6
NCINO INC,ncino,5.0,2.0,0,1,0,0.4,2,1.0,1,n205,18.487201520255912,5
NCINO INC NEW,ncino new,4.0,1.5,0,1,0,0.375,3,0.5,1,n205,18.416032514877884,8
NURIX THERAPEUTICS INC,nurix therapeutics,8.5,3.0,0,1,0,0.4117647058823529,2,0.5,1,t060,21.072744266716903,17
PANDION THERAPEUTICS INC,pandion therapeutics,9.5,3.0,0,1,0,0.4210526315789473,2,0.0,1,t060,19.48056260513484,19
POSEIDA THERAPEUTICS INC,poseida therapeutics,9.5,3.5,0,1,0,0.4736842105263157,3,0.5,1,t060,23.98519317896505,19
QUHUO LTD,quhuo,5.0,2.0,0,1,0,0.6,2,1.0,1,q000,14.997034347146608,5
RENALYTIX PLC,renalytix,9.0,4.0,0,1,0,0.4444444444444444,1,1.0,1,r050,17.931913745758944,9
TREAN INSURANCE GROUP INC,trean insurance,7.0,2.0,0,1,0,0.4285714285714285,3,0.5,1,i520,9.218061167585182,14
THERAPEUTICS ACQUISITION CORP,therapeutics acquisition,11.5,4.0,0,1,0,0.4782608695652174,4,0.0,1,t060,28.03448670221352,23
POINT BIOPHARMA GLOBAL INC,point biopharma global,6.666666666666667,2.0,0,1,0,0.4,3,0.3333333333333333,0,b010,15.801039153787528,20
VASTA PLATFORM LTD,vasta platform,6.5,2.0,0,0,1,0.3076923076923077,3,0.0,1,p403,10.390891699576784,13
BIGCOMMERCE HOLDINGS INC,bigcommerce,11.0,3.0,1,0,0,0.3636363636363636,2,1.0,1,b020,21.580130008348146,11
RACKSPACE TECHNOLOGY INC,rackspace technology,9.5,3.0,0,1,0,0.3684210526315789,3,0.5,1,t020,24.80681043096319,19
ROCKET COMPANIES INC,rocket companies,7.5,2.5,0,1,0,0.4,2,0.0,1,c051,16.206327296290034,15
DUCK CREEK TECHNOLOGIES INC,duck creek technologies,7.0,2.0,1,0,0,0.3809523809523809,4,0.0,0,t020,22.64568123771276,21
AMERICAN OUTDOOR BRANDS INC,american outdoor brands,7.0,2.3333333333333335,1,0,0,0.4285714285714285,3,0.0,0,a506,21.06018257159426,21
AMERICAN ISRAELI PAPER MLS LTD,american israeli paper mls,5.75,2.5,1,0,0,0.4347826086956521,4,0.0,0,a506,29.271275809355927,23
BLUE ARROW PLC,blue arrow,4.5,1.5,1,0,0,0.4444444444444444,2,0.0,1,a600,4.697064893819934,9
MANPOWER PLC,manpower,8.0,3.0,0,1,0,0.375,1,0.0,1,m051,11.76004994153866,8
BRILLIANCE CHINA AUTO HLD LTD BM,brilliance china auto hld bm,4.8,1.6,1,0,0,0.375,3,0.0,0,b604,22.40380195632198,24
INVESCO LTD,invesco,7.0,3.0,0,1,0,0.4285714285714285,1,1.0,1,i510,9.333434399066272,7
MAXEON SOLAR TECHNOLOGIES LTD,maxeon solar technologies,7.666666666666667,2.6666666666666665,0,1,0,0.4347826086956521,4,0.3333333333333333,0,t020,31.174247591013973,23
KYMERA THERAPEUTICS INC,kymera therapeutics,9.0,3.5,0,1,0,0.4444444444444444,3,0.5,1,t060,26.49340271578716,18
CAPSTAR SPECIAL PURPOSE ACQ CORP,capstar special purpose acq,6.0,1.75,1,0,0,0.375,4,0.5,0,c012,19.923382346233968,24
GELESIS HOLDINGS INC,gelesis,7.0,3.0,0,1,0,0.4285714285714285,2,1.0,1,g040,5.830579561285907,7
BRUNOS INC,brunos,6.0,2.0,1,0,0,0.3333333333333333,1,1.0,1,b605,7.996935980850238,6
FUSION ACQUISITION CORP,fusion acquisition,8.5,3.0,0,1,0,0.5294117647058824,4,0.0,1,a202,13.641167421477174,17
MONEYLION INC,moneylion,9.0,3.0,0,1,0,0.5555555555555556,2,1.0,1,m050,10.568042866566962,9
MIRION TECHNOLOGIES INC,mirion technologies,9.0,3.0,0,1,0,0.4444444444444444,3,0.5,1,t020,24.351415789937207,18
UNITED AIR LINES INC,united air lines,4.666666666666667,1.6666666666666667,0,1,0,0.5,3,0.0,0,u503,-0.6189611076166491,14
ALLEGIS CORP,allegis,7.0,3.0,1,0,0,0.4285714285714285,2,1.0,1,a402,5.998042443572009,7
BUCK ENGINEERING INC,buck engineering,7.5,2.5,1,0,0,0.4,3,0.0,1,e520,15.099525668486915,15
KENSINGTON CAPITAL ACQ CORP,kensington capital acq,6.666666666666667,2.3333333333333335,0,1,0,0.35,3,0.3333333333333333,0,k052,22.01020796169017,20
QUANTUMSCAPE CORP,quantumscape,12.0,3.0,0,1,0,0.4166666666666667,2,1.0,1,q053,22.16996308582206,12
NETSTREIT CORP,netstreit,9.0,2.0,0,1,0,0.3333333333333333,3,1.0,1,n032,17.213708500297436,9
