,original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound
129,HALSEY DRUG INC,halsey drug,5.0,1.5,0,1,0,0.4,1,0.0,1,h042
130,ACURA PHARMACEUTICALS INC,acura pharmaceuticals,10.0,4.0,1,0,0,0.45,5,0.5,1,p065
131,CONSOLIDATED HYDRO INC,consolidated hydro,8.5,3.5,1,0,0,0.4117647058823529,3,0.0,1,c052
132,20TH CENTURY INDUSTRIES CA,th century industries ca,5.25,2.25,0,1,0,0.38095238095238093,3,0.0,0,i530
133,20TH CENTURY INDUSTRIES,th century industries,6.333333333333333,2.6666666666666665,0,1,0,0.3684210526315789,3,0.0,0,i530
134,21ST CENTURY INSURANCE GROUP,st century insurance,6.0,2.3333333333333335,0,1,0,0.3888888888888889,3,0.0,0,i520
135,PIPER JAFFRAY INC,piper jaffray,6.0,2.0,0,1,0,0.4166666666666667,2,0.5,1,j016
136,PIPER JAFFRAY COS INC,piper jaffray cos,5.0,1.6666666666666667,0,1,0,0.4,2,0.3333333333333333,0,j016
137,MARINE CORP IL,marine il,4.0,1.5,0,1,0,0.5,2,0.0,1,m060
138,MEDFORD SVGS BK MA,medford svgs bk ma,3.75,1.25,0,1,0,0.2,2,0.0,0,m031
139,REGIONAL BANCORP INC,regional bancorp,7.5,2.5,0,1,0,0.4,2,0.5,1,r020
140,MEDFORD SAVINGS BANK,medford savings bank,6.0,1.6666666666666667,0,1,0,0.2777777777777778,2,0.0,0,m031
141,MEDFORD BANCORP INC,medford bancorp,7.0,2.0,0,1,0,0.2857142857142857,2,0.5,1,m031
142,ACKERLEY COMMUNICATIONS INC,ackerley communications,11.0,4.0,1,0,0,0.45454545454545453,3,0.0,1,c050
143,ACKERLEY GROUP INC,ackerley,8.0,3.0,1,0,0,0.5,2,0.0,1,a206
144,LEARNING TECHNOLOGY INC,learning technology,9.0,3.0,0,1,0,0.3888888888888889,3,0.0,1,t020
145,DISCOVERY ASSOCIATES INC,discovery associates,9.5,4.0,1,0,0,0.47368421052631576,4,0.0,1,a202
146,LEOS INDUSTRIES INC,leos industries,7.0,2.5,0,1,0,0.42857142857142855,3,0.0,1,i530
